Time,Speed,RPM,Throttle Position
172829,21.7,2323,1.176470588
172981,22.32,2524,0.784313725
173132,22.32,2565,0.784313725
173285,22.32,2438,0.784313725
173437,22.32,2245,0.784313725
173588,22.32,2067,0.784313725
173740,22.32,1901,0.784313725
173892,21.7,1736,0.784313725
174043,21.7,1702,0.784313725
174194,21.7,1647,0.784313725
174345,21.7,1560,0.784313725
174496,21.7,1497,0.784313725
174648,21.7,1425,0.784313725
174799,21.7,1374,0.784313725
174952,21.7,1316,0.784313725
175103,21.08,1252,0.784313725
175254,21.08,1194,0.784313725
175407,21.08,1074,0.784313725
175560,21.08,968,0.784313725
175711,21.08,890,0.784313725
175863,21.08,838,0.784313725
176013,21.08,815,0.784313725
176166,20.46,825,0.784313725
176318,20.46,838,0.784313725
176469,20.46,857,0.784313725
176621,20.46,877,0.784313725
176772,20.46,889,0.784313725
176924,20.46,898,0.784313725
177074,20.46,896,0.784313725
177225,20.46,896,0.784313725
177377,19.84,896,0.784313725
177528,19.84,890,0.784313725
177680,19.84,883,0.784313725
177832,19.84,881,0.784313725
177984,19.84,870,0.784313725
178135,19.84,859,0.784313725
178286,19.84,852,0.784313725
178436,19.22,843,0.784313725
178587,19.22,838,0.784313725
178738,18.6,830,0.784313725
178888,18.6,821,0.784313725
179039,17.98,808,0.784313725
179191,17.98,793,0.784313725
179341,17.36,781,0.784313725
179492,16.74,776,0.784313725
179644,16.74,772,0.784313725
179796,16.12,766,0.784313725
179949,15.5,763,0.784313725
180101,14.88,756,0.784313725
180252,14.88,748,0.784313725
180404,14.26,743,0.784313725
180556,14.26,743,0.784313725
180708,14.26,739,0.784313725
180860,13.64,730,0.784313725
181012,13.64,734,0.784313725
181164,13.02,739,0.784313725
181314,13.02,744,0.784313725
181466,12.4,746,0.784313725
181618,11.78,749,0.784313725
181770,11.16,748,0.784313725
181921,10.54,758,0.784313725
182074,9.92,760,0.784313725
182225,9.3,773,0.784313725
182378,8.68,762,0.784313725
182529,8.06,749,0.784313725
182680,7.44,724,0.784313725
182831,6.82,717,0.784313725
182982,6.2,706,0.784313725
183134,3.72,685,0.784313725
183285,4.34,653,0.784313725
183436,3.72,628,0.784313725
183587,2.48,610,0.784313725
183737,2.48,610,0.784313725
183889,1.86,604,0.784313725
184040,1.86,606,0.784313725
184191,1.24,610,0.784313725
184344,0.62,616,0.784313725
184495,0.62,619,0.784313725
184645,0.62,616,0.784313725
184796,0,611,0.784313725
1859957,0,610,0.784313725
186007,4.34,1278,1.176470588
186158,3.72,1176,1.176470588
186310,3.1,1038,1.176470588
186460,5.58,1080,1.176470588
186612,6.82,1401,1.176470588
186762,8.06,1451,1.176470588
186915,5.58,1430,1.176470588
